key,ra,dec,name,host,confirmed_real,confirmed_galaxy,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,distance_measurement_method
agc_249525,214.47458333333333,17.546111111111113,AGC249525,,0,0,,,,,,,,,,,,26.6,,,Rhode2023AJ....166..113R,19.73,0.03,0.07,Rhode2023AJ....166..113R,48.0,,,,,,,Rhode2023AJ....166..113R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73,0.67,0.67,,Rhode2023AJ....166..113R,,,,,,,,,-6.87,0.03,0.07,4.98,2089.3,0.0,0.0,11.7809155,67.8766519,-457.91,1853.27,849.03,2086.32,2539.66,2292.78,nan,6.84,,,,,,78.85,45.7,,,,,,,,,,,,
agc_268071,243.23167,14.3459167,AGC268071,,0,0,,,,,,,,,,,,23.78,,,Rhode2023AJ....166..113R,16.79,0.1,0.32,Rhode2023AJ....166..113R,109.0,,,,,,,Rhode2023AJ....166..113R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,0.08,0.08,,Rhode2023AJ....166..113R,,,,,,,,,-6.99,0.1,0.32,5.03,570.16,0.0,0.0,28.2401727,41.522484,-139.89,331.28,442.46,564.84,1083.96,774.19,nan,5.31,,,,,,209.67,195.03,,,,,,,,,,,,
agc_749235,186.04125,26.23111111,AGC749235,,1,1,0.12,,,,,,0.78,,,,Karachentsev2013AJ....145..101K,27.16,,,Karachentsev2013AJ....145..101K,19.49,,,Karachentsev2013AJ....145..101K,288.0,,,,,,,Karachentsev2013AJ....145..101K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,Karachentsev2013AJ....145..101K,,,,,,,,,-7.67,,,5.3,2703.96,0.0,0.0,219.7669777,83.8428288,38.37,2703.67,10.22,2704.64,3084.05,2874.14,nan,6.06,,,,,,277.82,245.85,,,,,94.39,,,44.27,,,24.13,
antlia_1,151.0170833,-27.33111111,Antlia,,1,1,1.2,0.12,0.12,135.0,5.0,5.0,0.4,0.04,0.04,,McConnachie2012AJ....144....4M,25.6,0.07,0.07,Newman2024ApJ...966..175N,15.2,0.2,0.2,McConnachie2012AJ....144....4M,362.0,2.0,2.0,,,,,Barnes2001AJ....122..825B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,0.1,0.1,McConnachie2006MNRAS.365.1263M,1.7,0.16,0.16,,Putman2021ApJ...913...53P,,,,,,,,,-10.4,0.2,0.2,6.39,1318.26,0.0,0.0,263.0970707,22.3122546,-712.13,606.43,-928.94,1319.18,2003.02,1650.53,nan,5.84,,-1.6,0.1,0.1,isochrone,137.95,66.35,,,,,459.21,45.34,45.76,355.47,37.29,37.28,25.92,trgb
antlia_b,147.23375,-25.99,Antlia B,ngc_3109,1,1,0.72,0.07,0.07,4.0,12.0,12.0,0.3,0.05,0.05,,Sand2015ApJ...812L..13S,25.65,0.1,0.1,Hargis2020ApJ...888...31H,15.86,0.6,0.6,Sand2015ApJ...812L..13S,375.5,1.5,1.5,8.0,1.4,1.6,,Zoutendijk2021arXiv211209374Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,0.05,0.05,,Sand2015ApJ...812L..13S,,,,,,,,,-9.79,0.6,0.6,6.15,1348.96,0.0,0.0,259.4146249,21.0783463,-667.84,599.65,-1007.03,1350.38,2013.65,1669.29,88.38,5.49,,,,,,150.82,81.66,7.14,0.18,0.16,,281.96,27.06,27.31,235.7,24.24,24.24,25.64,
aquarius_1,311.7158333,-12.84805556,Aquarius,,1,1,1.63,0.08,0.08,96.58,1.44,1.44,0.53,0.05,0.05,,Higgs2021MNRAS.503..176H,24.97,0.09,0.09,Higgs2021MNRAS.503..176H,14.5,0.1,0.1,McConnachie2012AJ....144....4M,-141.8,2.0,1.8,7.8,1.1,1.8,,Kirby2017ApJ...834....9K,-0.0179,0.0123,0.0123,-0.0477,0.0123,0.0123,Bennet2025arXiv250911299B,-1.44,0.08,0.08,0.34,0.06,0.07,,Kirby2017ApJ...834....9K,,,,,,,,1.63,0.06,0.06,0.61,0.05,0.05,Higgs2021MNRAS.503..176H,,,,,,,,,15.14,1.11,1.11,,Putman2021ApJ...913...53P,,,,,,,,,-10.47,0.1,0.1,6.42,986.28,0.0,0.0,34.0490904,-31.343219,-194.08,-600.14,758.23,980.55,1105.17,972.85,nan,6.54,,-1.44,0.08,0.08,spectroscopic,-19.27,8.53,7.26,0.18,0.15,,467.17,22.61,22.82,319.63,23.01,23.1,25.62,
cetus_1,6.5458333,-11.04444444,Cetus,,1,1,3.2,0.1,0.1,63.0,3.0,3.0,0.33,0.06,0.06,,McConnachie2012AJ....144....4M,24.39,0.07,0.07,McConnachie2012AJ....144....4M,13.2,0.2,0.2,McConnachie2012AJ....144....4M,-83.9,1.2,1.2,8.3,1.0,1.0,,Kirby2014MNRAS.439.1015K,0.0618,0.0106,0.0106,-0.073,0.01,0.01,Bennet2025arXiv250911299B,-1.74,0.06,0.06,0.42,0.04,0.04,,Taibi2018A&A...618A.122T,1.3,0.1,0.1,32.0,6.5,6.5,McConnachie2006MNRAS.365.1263M,,,,,,,,,,,,,,,,,,,0.0608,Bennet2025arXiv250911299B,,,,,,,,,-11.19,0.2,0.2,6.71,755.09,0.0,0.0,101.4548414,-72.854557,180.28,-731.52,50.35,755.61,676.95,602.97,nan,,3.91,-1.74,0.06,0.06,spectroscopic,-21.13,29.08,7.56,0.11,0.1,,702.42,21.64,21.84,574.47,31.71,31.12,26.18,
ddo_044,113.5479167,66.87972222,DDO 44,ngc_2403,1,1,0.74,0.02,0.02,,,,0.6,,,,Carlin2019ApJ...886..109C,27.36,0.07,0.07,Carlin2019ApJ...886..109C,14.46,,,Carlin2019ApJ...886..109C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,0.3,0.3,Carlin2019ApJ...886..109C,,,,,,,,,,,,,,-12.9,,,7.39,2964.83,0.0,0.0,149.0987343,28.9584398,2539.98,1484.82,-366.11,2970.93,2627.4,2774.19,237.34,,,-1.6,0.3,0.3,isochrone,,,,,,,637.84,16.99,17.15,403.41,10.75,10.85,23.7,
ddo_099,177.7223,38.8801,DDO 99,,1,1,1.3967,0.0668,0.0668,,,,0.51,0.02,0.02,,Carlsten2021ApJ...922..267C,27.07,0.14,0.14,McConnachie2012AJ....144....4M,12.91,0.09,0.09,Carlsten2021ApJ...922..267C,251.0,4.0,4.0,,,,,McConnachie2012AJ....144....4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.13,0.22,0.22,McConnachie2006MNRAS.365.1263M,,,,,,,,,,,,,,-14.16,0.09,0.09,7.9,2594.18,0.0,0.0,166.1956761,72.7462165,674.1,2503.22,-96.01,2596.53,2821.62,2682.35,nan,,,-2.13,0.22,0.22,isochrone,272.1,256.98,,,,,1052.9,49.69,50.15,736.94,38.36,38.0,23.75,
ddo_113,183.74125,36.21888889,DDO 113,ngc_4214,1,1,0.7267,0.025,0.025,40.0,2.0,2.0,0.37,0.05,0.05,,Garling2020MNRAS.492.1713G,27.35,0.06,0.06,McConnachie2012AJ....144....4M,15.15,0.1,0.1,McConnachie2012AJ....144....4M,284.0,6.0,6.0,,,,,McConnachie2012AJ....144....4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.99,0.21,0.21,McConnachie2006MNRAS.365.1263M,,,,,,,,,,,,,,-12.2,0.1,0.1,7.11,2951.21,0.0,0.0,161.1015963,78.060458,558.92,2896.87,73.62,2952.81,3206.98,3057.2,133.12,,,-1.99,0.21,0.21,isochrone,305.54,286.76,,,,,623.38,21.15,21.34,494.29,25.88,25.78,24.84,
