key,ra,dec,name,host,confirmed_real,confirmed_galaxy,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,distance_measurement_method
alice_1,220.774,-28.028,Alice,mw,0,0,0.45,,,,,,,,,,Popova2025Ap.....68..327P,19.35,0.32,0.28,Popova2025Ap.....68..327P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.13,0.0,0.0,331.0338894,28.6809917,-63.19,33.67,19.19,68.1,842.49,454.95,68.1,,,,,,,,,,,,,9.7,,,9.7,,,,cmd
balbinot_1,332.6791,14.9403,Balbinot 1,mw,1,,0.6,0.11,0.16,,,,,,,,Balbinot2013ApJ...767..101B,17.52,0.11,0.07,Balbinot2013ApJ...767..101B,16.31,0.66,0.66,Balbinot2013ApJ...767..101B,-175.9,1.5,1.3,3.7,1.1,1.5,,Cerny2026arXiv260217652C,1.48,0.12,0.12,-1.29,0.13,0.13,Cerny2026arXiv260217652C,-2.59,0.23,0.21,0.41,0.18,0.27,,Cerny2026arXiv260217652C,0.22,0.06,0.1,7.85,3.4,4.15,Balbinot2013ApJ...767..101B,0.84,0.11,0.11,1.48,0.23,0.23,Munoz2018ApJ...860...66M,11.7,0.8,1.4,Balbinot2013ApJ...767..101B,-1.58,0.13,0.08,Balbinot2013ApJ...767..101B,,,,,,,,,,,,,,-1.21,0.66,0.66,2.72,31.92,0.0,0.0,75.1723139,-32.6442649,12.53,-19.73,21.73,31.19,752.86,365.04,31.19,,,-2.59,0.23,0.21,spectroscopic,22.6,88.68,4.84,0.4,0.28,,5.54,1.23,1.25,5.54,1.23,1.25,26.08,
delve_1,247.725,-0.972,DELVE 1,mw,1,,0.97,0.19,0.27,21.0,30.0,26.0,0.2,0.2,0.1,,Mau2020ApJ...890..136M,16.68,0.12,0.12,Simon2024ApJ...976..256S,16.19,0.6,0.8,Mau2020ApJ...890..136M,-402.7,0.6,0.6,,,,3.2,Simon2024ApJ...976..256S,0.02,0.07,0.07,-1.54,0.05,0.05,Cerny2026arXiv260217652C,-2.58,0.12,0.12,,,,,Cerny2026arXiv260217652C,,,,,,,,,,,,,,,12.5,0.7,1.0,Mau2020ApJ...890..136M,-1.5,,,Mau2020ApJ...890..136M,,,,,,,,,,,,,,-0.49,0.6,0.8,2.43,21.68,0.0,0.0,14.187556,30.290003,-10.24,9.14,16.77,15.53,785.6,397.69,15.53,,,-2.58,0.12,0.12,spectroscopic,-336.0,-361.01,,,,4.72,6.09,1.43,1.44,5.31,1.32,1.35,26.71,
delve_2,28.772,-68.253,DELVE 2,mw,1,,1.04,0.15,0.19,74.0,40.0,84.0,0.03,0.03,0.15,,Cerny2021ApJ...910...18C,19.26,0.1,0.1,Cerny2021ApJ...910...18C,17.16,0.5,0.4,Cerny2021ApJ...910...18C,,,,,,,,,0.92,0.11,0.12,-0.97,0.08,0.09,Battaglia2022A&A...657A..54B,,,,,,,,,,,,,,,,,,,,,,,,,,Cerny2021ApJ...910...18C,-2.0,0.5,0.2,Cerny2021ApJ...910...18C,,,,,,,,,,,,,,-2.1,0.5,0.4,3.07,71.12,0.0,0.0,294.2362068,-47.7862941,-43.94,-50.29,-24.46,69.32,803.76,418.19,69.32,,,-2.0,0.5,0.2,isochrone,,,,,,,21.44,3.47,3.5,20.45,3.36,3.5,28.02,
delve_3,290.396,-60.784,DELVE 3,mw,1,,0.4,0.08,0.12,87.0,35.0,30.0,,,,0.4,Cerny2023ApJ...953....1C,18.73,0.23,0.09,Cerny2023ApJ...953....1C,17.43,0.6,0.4,Cerny2023ApJ...953....1C,-84.8,2.8,3.0,,,,8.7,Cerny2026arXiv260217652C,-0.31,0.27,0.27,-0.81,0.28,0.28,Cerny2026arXiv260217652C,-2.98,0.29,0.29,,,,,Cerny2026arXiv260217652C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,0.6,0.4,2.75,55.72,0.0,0.0,335.8458284,-27.0618531,-47.06,-26.93,12.84,49.35,806.29,419.46,49.35,,,-2.98,0.29,0.29,spectroscopic,-167.35,-202.89,,,,5.66,6.45,1.6,1.61,6.45,1.6,1.61,26.32,
delve_4,230.775,27.395,DELVE 4,mw,1,,0.49,0.12,0.16,152.0,17.0,14.0,0.4,0.2,0.2,,Cerny2023ApJ...953....1C,18.28,0.19,0.19,Cerny2023ApJ...953....1C,18.08,0.8,0.5,Cerny2023ApJ...953....1C,-167.7,1.4,1.4,2.5,1.3,2.0,,Cerny2026arXiv260217652C,0.42,0.08,0.08,-0.75,0.11,0.1,Cerny2026arXiv260217652C,-2.17,0.27,0.27,0.62,0.19,0.22,,Cerny2026arXiv260217652C,,,,,,,,,,,,,,,13.5,,,Cerny2023ApJ...953....1C,-1.9,,,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,-0.2,0.8,0.5,2.31,45.29,0.0,0.0,42.3105201,56.4284503,-2.21,34.76,28.95,42.62,786.87,399.94,42.62,,,-2.17,0.27,0.27,spectroscopic,-64.52,-75.63,4.41,0.83,0.48,,6.42,1.82,1.83,4.79,1.56,1.7,26.77,
delve_5,222.104,17.468,DELVE 5,mw,1,,0.68,0.17,0.24,77.0,11.0,10.0,0.6,0.2,0.1,,Cerny2023ApJ...953....1C,17.97,0.17,0.17,Cerny2023ApJ...953....1C,18.37,0.9,0.4,Cerny2023ApJ...953....1C,-233.5,6.2,6.3,,,,,Cerny2026arXiv260217652C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,Cerny2023ApJ...953....1C,-2.2,,,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,0.4,0.9,0.4,2.07,39.26,0.0,0.0,19.3751611,61.3560783,-8.83,32.42,20.31,36.32,793.3,405.93,36.32,,,-2.2,,,isochrone,-181.78,-210.24,,,,,7.72,2.3,2.33,4.71,1.66,1.84,27.33,
delve_6,33.07,-66.056,DELVE 6,mw,1,,0.43,0.12,0.18,14.0,63.0,40.0,,,,0.56,Cerny2023ApJ...953L..21C,19.51,0.16,0.11,Cerny2023ApJ...953L..21C,18.01,0.6,0.4,Cerny2023ApJ...953L..21C,171.4,6.2,6.6,,,,,Cerny2026arXiv260217652C,0.92,0.39,0.39,-1.28,0.38,0.38,Cerny2026arXiv260217652C,-1.49,0.51,0.51,,,,,Cerny2026arXiv260217652C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,0.6,0.4,2.83,79.8,0.0,0.0,290.5701738,-49.0865687,-46.65,-57.34,-30.06,78.33,805.4,420.54,78.33,,,-1.49,0.51,0.51,spectroscopic,17.9,-8.76,,,,,9.92,3.41,3.47,9.92,3.41,3.47,27.05,
delve_7,304.107,-50.33,DELVE 7,mw,1,,0.32,0.16,0.58,101.0,55.0,43.0,0.63,0.53,0.17,,Tan2026ApJ..1000...46T,18.1,0.3,0.3,Tan2026ApJ..1000...46T,19.3,2.1,0.7,Tan2026ApJ..1000...46T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,Tan2026ApJ..1000...46T,-1.4,,,Tan2026ApJ..1000...46T,,,,,,,,,,,,,,1.2,2.1,0.7,1.75,41.69,0.0,0.0,348.6833771,-33.840151,-29.58,-25.05,15.33,35.39,790.45,403.26,35.39,,,-1.4,,,isochrone,,,,,,,4.9,3.15,3.99,2.78,1.91,2.96,26.99,cmd
des_1,8.49917,-49.03861,DES 1,mw,1,,0.245,0.027,0.036,112.0,3.0,3.0,0.41,0.06,0.03,,Conn2018ApJ...852...68C,19.4,0.12,0.12,Conn2018ApJ...852...68C,17.98,0.5,0.5,Conn2018ApJ...852...68C,,,,,,,,,,,,,,,,,,,,,,,,0.116,0.037,0.04,2.114,0.707,0.729,Conn2018ApJ...852...68C,,,,,,,,11.2,0.9,1.0,Conn2018ApJ...852...68C,-2.38,0.19,0.21,Conn2018ApJ...852...68C,,,,,,,,,,,,,,-1.42,0.5,0.5,2.8,75.86,0.0,0.0,310.5221957,-67.831802,-28.42,-69.45,-11.13,74.29,780.37,395.87,74.29,,,-2.38,0.19,0.21,isochrone,,,,,,,5.39,0.68,0.69,4.14,0.55,0.56,25.23,
