key,ra,dec,name,host,confirmed_real,confirmed_galaxy,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,distance_measurement_method
andromeda_01-gc1,11.42881,38.03162,And I-GC1,andromeda_01,1,,0.019,0.002,0.002,,,,,,,,Caldwell2017PASA...34...39C,24.45,,,,20.1,0.1,0.1,Caldwell2017PASA...34...39C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,0.4,0.4,Caldwell2017PASA...34...39C,,,,,,,,,,,,,,-4.35,0.1,0.1,3.97,776.25,,,121.6903148,-24.8263311,678.29,-344.9,153.37,780.15,44.49,389.42,0.16,,,-1.5,0.4,0.4,isochrone,,,,,,,4.28,0.44,0.45,4.28,0.44,0.45,22.38,host
andromeda_25-gc1,7.54407917,46.85155,And XXV-GC1,andromeda_25,0,,0.1,,,,,,,,,,Cusano2016ApJ...829...26C,24.38,,,,20.0,,,Cusano2016ApJ...829...26C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,Cusano2016ApJ...829...26C,-1.6,,,Cusano2016ApJ...829...26C,,,,,,,,,,,,,,-4.38,,,3.99,751.62,,,119.1555193,-15.8642381,686.77,-229.09,202.0,755.46,83.95,367.93,0.13,,,-1.6,,,isochrone,,,,,,,21.86,,,21.86,,,25.89,host
aquarius_1-gc1,311.7158333,-12.84805556,Aquarius-GC1,aquarius_1,0,,,,,,,,,,,,,24.97,,,,20.15,,,Greggio1993AJ....105..894G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.82,,,4.16,986.28,,,34.0490904,-31.343219,-194.08,-600.14,758.23,980.55,1105.17,972.85,0.0,,,,,,,,,,,,,,,,,,,,host
cena-mm-dw01-gc1,202.54278,-41.904666,CenA-MM-Dw1-GC1,cena-mm-dw01,1,,,,,,,,,,,,,27.96,,,,,,,,266.0,5.9,5.9,,,,,Dumont2022ApJ...929..147D,,,,,,,,-1.39,0.32,0.32,,,,,Dumont2022ApJ...929..147D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3908.41,,,310.6068788,20.3891334,-3638.05,1400.88,-278.92,3903.46,4676.88,4292.27,1.15,,,-1.39,0.32,0.32,spectroscopic,101.8,24.24,,,,,,,,,,,,host
cena-mm-dw01-gc2,202.5767,-41.890874,CenA-MM-Dw1-GC2,cena-mm-dw01,1,,,,,,,,,,,,,27.96,,,,,,,,259.6,5.9,5.9,,,,,Dumont2022ApJ...929..147D,,,,,,,,-1.13,0.35,0.35,,,,,Dumont2022ApJ...929..147D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3908.41,,,310.6358222,20.3987084,-3638.04,1401.29,-277.0,3903.46,4676.83,4292.25,0.89,,,-1.13,0.35,0.35,spectroscopic,95.5,17.94,,,,,,,,,,,,host
cena-mm-dw01-gc3,202.55034,-41.88403,CenA-MM-Dw1-GC3,cena-mm-dw01,1,,,,,,,,,,,,,27.96,,,,,,,,261.6,6.2,6.2,,,,,Dumont2022ApJ...929..147D,,,,,,,,-1.07,0.34,0.34,,,,,Dumont2022ApJ...929..147D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3908.41,,,310.6163234,20.4086051,-3637.66,1402.05,-278.13,3903.46,4676.87,4292.26,0.78,,,-1.07,0.34,0.34,spectroscopic,97.45,19.89,,,,,,,,,,,,host
cena-mm-dw01-nsc,202.558373,-41.892037,CenA-MM-Dw1-NSC,cena-mm-dw01,1,,,,,,,,,,,,,27.96,,,,,,,,273.2,5.9,5.9,,,,,Dumont2022ApJ...929..147D,,,,,,,,-1.71,0.32,0.32,,,,,Dumont2022ApJ...929..147D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3908.41,,,310.6212557,20.3997449,-3637.9,1401.46,-277.91,3903.46,4676.86,4292.26,0.1,,,-1.71,0.32,0.32,spectroscopic,109.06,31.49,,,,,,,,,,,,host
cena-mm-dw03-nsc,202.586867,-42.191885,CenA-MM-Dw3-NSC,cena-mm-dw03,1,,0.0042,,,,,,,,,,Dumont2022ApJ...929..147D,27.94,,,,18.42,,,Dumont2022ApJ...929..147D,359.6,2.4,2.4,8.6,,,,Dumont2022ApJ...929..147D,,,,,,,,-1.12,0.35,0.35,,,,,Dumont2022ApJ...929..147D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.52,,,6.04,3872.58,,,310.5923687,20.1003753,-3611.29,1370.03,-280.08,3867.62,4640.99,4256.4,0.09,,,-1.12,0.35,0.35,spectroscopic,195.02,117.46,5.52,,,,4.78,,,4.78,,,17.45,host
ddo_078-gc1,156.61291666666665,67.65277777777779,DDO 78-GC1,ddo_078,1,,0.0065,,,,,,0.1,,,,Sharina2005A&A...442...85S,27.71,,,,19.04,0.07,0.07,Sharina2005A&A...442...85S,55.0,10.0,10.0,,,,,Sharina2001A&A...380..435S,,,,,,,,-1.6,0.1,0.1,,,,,Sharina2003A&A...397..831S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.67,0.07,0.07,5.7,3483.37,,,141.1427282,43.9987519,2500.35,2423.14,102.49,3487.93,3273.8,3357.86,0.25,,,-1.6,0.1,0.1,spectroscopic,164.02,191.0,,,,,6.59,,,6.25,,,18.88,host
ddo_078-gc2,156.61791666666664,67.67916666666667,DDO 78-GC2,ddo_078,0,,0.0068,,,,,,0.1,,,,Sharina2005A&A...442...85S,27.71,,,,20.62,0.07,0.07,Sharina2005A&A...442...85S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.09,0.07,0.07,5.07,3483.37,,,141.1141015,43.9821446,2501.13,2422.29,103.6,3487.93,3273.5,3357.71,1.37,,,,,,,,,,,,,6.92,,,6.57,,,20.57,host
