key,ra,dec,name,host,confirmed_real,confirmed_galaxy,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,distance_measurement_method
2ms_gc01,272.090851,-19.829723,2MASS GC-01,mw,1,,4.07,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,12.64,0.4,0.4,Baumgardt2021MNRAS.505.5957B,6.57,,,Baumgardt2020PASA...37...46B,-31.28,0.5,0.5,,,,,Baumgardt2018MNRAS.478.1520B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.22,1.11,0.93,Massari2025A&A...698A.197M,-0.85,0.06,0.07,Massari2025A&A...698A.197M,,,,,,,,,,,,,,-6.07,,,4.66,3.37,0.0,0.0,10.4709905,0.1000831,-2.03,-0.29,2.68,4.84,777.36,389.22,4.84,,,-0.85,0.06,0.07,isochrone,26.05,9.67,,,,,3.99,,,3.99,,,20.51,
2ms_gc02,272.4021,-20.778889,2MASS GC-02,mw,1,,1.39,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.0,0.142,0.134,AlonsoGarcia2025A&A...695A..47A,8.69,,,Baumgardt2020PASA...37...46B,-87.0,7.0,7.0,,,,,Kunder2021AJ....162...86K,4.2,0.4,0.4,-4.6,0.4,0.4,AlonsoGarcia2025A&A...695A..47A,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.08,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,-5.31,,,4.36,6.31,0.0,0.0,9.7821063,-0.615164,-3.85,-0.62,4.96,2.19,778.38,390.26,2.19,,,-1.08,,,isochrone,-32.65,-49.54,,,,,2.55,,,2.55,,,20.29,
am_1,58.759586,-49.615276,AM 1,mw,1,,0.45,0.03,0.03,42.0,23.0,23.0,0.07,0.05,0.05,,Munoz2018ApJ...860...66M,20.376,0.062,0.062,Baumgardt2021MNRAS.505.5957B,14.27,0.05,0.05,Baumgardt2020PASA...37...46B,118.0,14.14,14.14,,,,,Baumgardt2018MNRAS.478.1520B,0.2912,0.1071,0.1071,-0.1772,0.0859,0.0859,Vasiliev2021MNRAS.505.5978V,-1.7,,,,,,,Harris1996AJ....112.1487H,,,,,,,,0.46,0.03,0.03,1.08,0.13,0.13,Munoz2018ApJ...860...66M,11.1,0.56,0.56,Kruijssen2019MNRAS.486.3180K,,,,,,,,,,,,,,,,,,-6.11,0.05,0.05,4.68,118.9,0.0,0.0,258.3613301,-48.470727,-40.59,-81.03,-76.97,120.26,805.84,425.55,120.26,,,-1.7,,,spectroscopic,-49.04,-67.71,,,,,15.54,1.02,1.03,14.92,1.05,1.04,23.33,
am_4,209.089066,-27.165171,AM 4,mw,1,,0.68,0.15,0.15,32.0,24.0,24.0,0.08,0.16,0.16,,Munoz2018ApJ...860...66M,17.313,0.07,0.07,Baumgardt2021MNRAS.505.5957B,15.65,,,Hamren2013AJ....146..116H,151.19,2.85,2.85,,,,,Baumgardt2018MNRAS.478.1520B,-0.2911,0.4448,0.4448,-2.5119,0.3441,0.3441,Vasiliev2021MNRAS.505.5978V,-1.3,,,,,,,Harris1996AJ....112.1487H,,,,,,,,0.76,0.14,0.14,1.44,0.33,0.33,Munoz2018ApJ...860...66M,13.0,,,Hamren2013AJ....146..116H,-1.68,0.08,0.08,Hamren2013AJ....146..116H,,,,,,,,,,,,,,-1.66,,,2.9,29.01,0.0,0.0,320.2829892,33.5098339,-24.16,15.79,2.99,24.61,803.46,415.37,24.61,,,-1.3,,,spectroscopic,32.91,-39.28,,,,,5.71,1.25,1.26,5.19,1.17,1.24,25.48,
arp_2,292.183807,-30.355639,Arp 2,sagittarius_1,1,,1.7,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,17.291,0.026,0.026,Baumgardt2021MNRAS.505.5957B,11.34,0.04,0.04,Baumgardt2020PASA...37...46B,122.64,0.29,0.29,,,,,Baumgardt2018MNRAS.478.1520B,-2.3307,0.0313,0.0313,-1.4753,0.0294,0.0294,Vasiliev2021MNRAS.505.5978V,-1.75,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,11.96,0.51,0.51,Kruijssen2019MNRAS.486.3180K,,,,,,,,,,,,,,,,,,-5.95,0.04,0.04,4.61,28.72,0.0,0.0,8.54537,-20.7853658,-16.83,-12.43,19.67,21.44,782.61,394.96,4.13,,,-1.75,,,spectroscopic,165.92,158.94,,,,,14.2,,,14.2,,,23.38,
bh_176,234.7810417,-50.05272222,BH 176,mw,1,,0.9,,,,,,,,,,Harris1996AJ....112.1487H,15.913,,,Harris1996AJ....112.1487H,11.613,,,Harris1996AJ....112.1487H,0.1,0.7,0.7,,,,,Vasquez2018A&A...619A..13V,-3.9889,0.0293,0.0293,-3.0568,0.0287,0.0287,Vasiliev2021MNRAS.505.5978V,-0.12,0.22,0.22,,,,,Vasquez2018A&A...619A..13V,,,,,,,,,,,,,,,7.0,0.5,0.5,Sharina2014A&A...570A..48S,,,,,,,,,,,,,,,,,,-4.3,,,3.95,15.23,0.0,0.0,328.4131377,4.3366491,-14.9,0.82,3.02,9.37,789.26,401.16,9.37,,,-0.12,0.22,0.22,spectroscopic,-116.63,-180.0,,,,,3.99,,,3.99,,,22.27,
bh_261,273.5275,-28.635,BH 261,mw,1,,1.65,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,13.932,0.092,0.092,Baumgardt2021MNRAS.505.5957B,10.15,0.04,0.04,Baumgardt2020PASA...37...46B,-61.0,2.6,2.6,6.1,1.9,1.9,,Kunder2024AJ....167...21K,3.5656,0.0434,0.0434,-3.5897,0.0375,0.0375,Vasiliev2021MNRAS.505.5978V,-1.07,0.1,0.11,,,,0.38,Kunder2024AJ....167...21K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.78,0.04,0.04,3.75,6.12,0.0,0.0,3.3617024,-5.2703791,-4.23,-1.04,4.29,2.15,778.7,390.58,2.15,,,-1.07,0.1,0.11,spectroscopic,-34.55,-56.99,5.01,0.33,0.23,,2.94,,,2.94,,,22.13,
djorgovski_1,266.869583,-33.066389,Djorgovski 1,mw,1,,1.43,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.974,0.143,0.143,Baumgardt2021MNRAS.505.5957B,8.2,0.12,0.12,Baumgardt2020PASA...37...46B,-359.18,1.64,1.64,,,,,Baumgardt2018MNRAS.478.1520B,-4.6934,0.0462,0.0462,-8.4678,0.0411,0.0411,Vasiliev2021MNRAS.505.5978V,-1.51,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.77,0.12,0.12,4.94,9.88,0.0,0.0,356.6749779,-2.4835948,-7.64,-1.11,6.17,1.87,781.34,393.23,1.87,,,-1.51,,,spectroscopic,-360.88,-392.92,,,,,4.11,,,4.11,,,19.87,
djorgovski_2,270.454378,-27.825819,Djorgovski 2,mw,1,,1.82,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.714,0.044,0.044,Baumgardt2021MNRAS.505.5957B,8.2,0.11,0.11,Baumgardt2020PASA...37...46B,-149.75,1.1,1.1,,,,,Baumgardt2018MNRAS.478.1520B,0.6619,0.0415,0.0415,-2.9828,0.0371,0.0371,Vasiliev2021MNRAS.505.5978V,-1.14,0.04,0.04,,,,,Geisler2025arXiv250809970G,,,,,,,,,,,,,,,12.7,0.69,0.72,Ortolani2019A&A...627A.145O,,,,,,,,,,,,,,,,,,-6.51,0.11,0.11,4.84,8.77,0.0,0.0,2.7634913,-2.5083124,-6.15,-1.07,6.15,0.85,780.02,391.91,0.85,,,-1.14,0.04,0.04,spectroscopic,-125.39,-150.09,,,,,4.64,,,4.64,,,20.39,
e_3,140.237793,-77.281891,E 3,mw,1,,1.92,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.482,0.069,0.069,Baumgardt2021MNRAS.505.5957B,10.92,0.03,0.03,Baumgardt2020PASA...37...46B,11.71,0.34,0.34,,,,,Baumgardt2018MNRAS.478.1520B,-2.7274,0.0272,0.0272,7.0827,0.0271,0.0271,Vasiliev2021MNRAS.505.5978V,-0.83,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,12.8,1.41,1.41,Forbes2010MNRAS.404.1203F,,,,,,,,,,,,,,,,,,-3.56,0.03,0.03,3.66,7.88,0.0,0.0,292.2682316,-19.0170224,-6.74,-2.2,-3.42,9.07,782.16,394.03,9.07,,,-0.83,,,spectroscopic,-201.08,-262.44,,,,,4.4,,,4.4,,,23.23,
