key,ra,dec,name,host,confirmed_real,confirmed_star_cluster,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,rhalf_physical,rhalf_sph_physical,surface_brightness_rhalf,metallicity,metallicity_em,metallicity_ep,metallicity_type,ll,bb
balbinot_1,332.6791,14.9403,Balbinot 1,MW,1,0,0.6,0.11,0.16,,,,,,,,Balbinot2013ApJ...767..101B,17.52,0.11,0.07,Balbinot2013ApJ...767..101B,16.31,0.66,0.66,Balbinot2013ApJ...767..101B,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.06,0.1,7.85,3.4,4.15,Balbinot2013ApJ...767..101B,0.84,0.11,0.11,1.48,0.23,0.23,Munoz2018ApJ...860...66M,11.7,0.8,1.4,Balbinot2013ApJ...767..101B,-1.58,0.13,0.08,Balbinot2013ApJ...767..101B,-1.2100000000000009,0.66,0.66,2.7170299956639816,31.915378551007585,1.5764667090648672,1.0455926667381803,5.570284377354593,5.570284377354593,26.08999997795106,-1.58,0.13,0.08,photometric,75.17231390338137,-32.64426492550712
bliss_1,177.51,-41.772,BLISS 1,MW,1,0,0.6,0.14,0.19,101.0,56.0,74.0,0.06,,,,Mau2019ApJ...875..154M,16.87,0.13,0.2,Mau2019ApJ...875..154M,16.87,0.7,1.7,Mau2019ApJ...875..154M,,,,,,,,,-2.34,0.042,0.042,0.138,0.038,0.038,Vasiliev2021MNRAS.505.5978V,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,,,Mau2019ApJ...875..154M,0.0,0.7,1.7,2.233029995663981,23.65919697485761,1.3748454821545337,2.2825966463305143,4.129308855891474,4.003513473151193,26.582819613273244,-1.4,,,photometric,290.8313041691232,19.65258527423589
crater_1,174.0668,-10.8772,Laevens 1,MW,1,1,0.46,0.01,0.01,,,,,,,,Weisz2016ApJ...822...32W,20.82,0.045,0.044,Weisz2016ApJ...822...32W,15.52,0.1,0.1,Weisz2016ApJ...822...32W,148.18,1.08,1.15,2.04,1.06,2.19,,Voggel2016MNRAS.460.3384V,-0.04,0.12,0.12,0.12,0.1,0.1,Battaglia2022A&A...657A..54B,-1.68,0.05,,,,,0.53,Kirby2015ApJ...810...56K,0.39,0.02,0.02,,,,Weisz2016ApJ...822...32W,0.49,0.07,0.07,0.77,0.19,0.19,Munoz2018ApJ...860...66M,7.5,0.4,0.4,Weisz2016ApJ...822...32W,-1.66,0.04,0.04,Weisz2016ApJ...822...32W,-5.300000000000001,0.1,0.1,4.353029995663982,145.88142602753473,2.992030176424663,2.9861099217018534,19.520185879585256,19.520185879585256,24.72303289352977,-1.68,0.05,,spectroscopic,274.80702677748513,47.84736916779219
delve_1,247.725,-0.972,DELVE 1,MW,1,0,0.97,0.19,0.27,21.0,30.0,26.0,0.2,0.2,0.1,,Mau2020ApJ...890..136M,16.39,0.12,0.12,Mau2020ApJ...890..136M,16.19,0.6,0.8,Mau2020ApJ...890..136M,,,,,,,,,0.04,0.07,0.07,-1.54,0.05,0.05,Battaglia2022A&A...657A..54B,,,,,,,,,,,,,,,,,,,,,,,12.5,0.7,1.0,Mau2020ApJ...890..136M,-1.5,,,Mau2020ApJ...890..136M,-0.1999999999999993,0.6,0.8,2.3130299956639813,18.967059212111483,1.0197229437862383,1.0776610615401516,5.3517750615317485,4.786773135149244,26.770827340790973,-1.5,,,photometric,14.187556047648796,30.290002967411787
delve_2,28.772,-68.253,DELVE 2,MW,1,0,1.04,0.15,0.19,74.0,40.0,84.0,0.03,0.03,0.15,,Cerny2021ApJ...910...18C,19.26,0.1,0.1,Cerny2021ApJ...910...18C,17.16,0.5,0.4,Cerny2021ApJ...910...18C,,,,,,,,,0.92,0.11,0.12,-0.97,0.08,0.09,Battaglia2022A&A...657A..54B,,,,,,,,,,,,,,,,,,,,,,,,,,Cerny2021ApJ...910...18C,-2.0,0.5,0.2,Cerny2021ApJ...910...18C,-2.1000000000000014,0.5,0.4,3.073029995663982,71.12135136533296,3.2009881036145202,3.3518460252660702,21.51589699640896,21.190700999572375,28.101339715983812,-2.0,0.5,0.2,photometric,294.23620682374417,-47.7862940725417
delve_3,290.396,-60.784,DELVE 3,MW,1,0,0.4,0.08,0.12,87.0,35.0,30.0,,,,0.4,Cerny2023ApJ...953....1C,18.73,0.23,0.09,Cerny2023ApJ...953....1C,17.43,0.6,0.4,Cerny2023ApJ...953....1C,,,,,,,,,-0.33,0.34,0.31,-0.8,0.32,0.35,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3000000000000007,0.6,0.4,2.7530299956639817,55.71857489319304,5.599851530465791,2.357866858938195,6.48315057603511,6.48315057603511,26.329543694922066,,,,,335.8458283951928,-27.061853103800697
delve_4,230.775,27.395,DELVE 4,MW,1,0,0.49,0.12,0.16,152.0,17.0,14.0,0.4,0.2,0.2,,Cerny2023ApJ...953....1C,18.28,0.19,0.19,Cerny2023ApJ...953....1C,18.08,0.8,0.5,Cerny2023ApJ...953....1C,,,,,,,,,0.42,0.09,0.08,-0.75,0.11,0.11,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,,,,,,,,,,13.5,,,Cerny2023ApJ...953....1C,-1.9,,,Cerny2023ApJ...953....1C,-0.20000000000000284,0.8,0.5,2.3130299956639826,45.28975799036214,3.794353726925813,4.141310708321498,6.45538572063304,5.000320277871386,26.865602265360206,-1.9,,,photometric,42.31052011869643,56.428450302453584
delve_5,222.104,17.468,DELVE 5,MW,1,0,0.68,0.17,0.24,77.0,11.0,10.0,0.6,0.2,0.1,,Cerny2023ApJ...953....1C,17.97,0.17,0.17,Cerny2023ApJ...953....1C,18.37,0.9,0.4,Cerny2023ApJ...953....1C,,,,,,,,,-1.82,0.12,0.13,-0.93,0.12,0.12,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,,,,,,,,,,10.0,,,Cerny2023ApJ...953....1C,-2.2,,,Cerny2023ApJ...953....1C,0.40000000000000213,0.9,0.4,2.0730299956639806,39.264493539959936,2.956688062949837,3.1974628546713646,7.766673169203906,4.912075411360532,27.426938278604617,-2.2,,,photometric,19.375161078165267,61.35607830684592
delve_6,33.07,-66.056,DELVE 6,MW,0,0,0.43,0.12,0.18,14.0,63.0,40.0,,,,0.56,Cerny2023ApJ...953L..21C,19.51,0.16,0.11,Cerny2023ApJ...953L..21C,18.01,0.6,0.4,Cerny2023ApJ...953L..21C,,,,,,,,,0.93,0.39,0.39,-1.28,0.38,0.38,Cerny2023ApJ...953L..21C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,0.6,0.4,2.8330299956639813,79.79946872679768,5.6684445967059105,4.146529925142133,9.981471539478212,9.981471539478212,27.066586014655137,,,,,290.57017376536714,-49.086568654522715
des_1,8.4991667,-49.0386111,DES 1,MW,1,0,0.245,0.027,0.036,112.0,3.0,3.0,0.41,0.06,0.03,,Conn2018ApJ...852...68C,19.4,0.12,0.12,Conn2018ApJ...852...68C,17.98,0.5,0.5,Conn2018ApJ...852...68C,,,,,,,,,,,,,,,,,,,,,,,,0.116,0.037,0.04,2.114,0.707,0.729,Conn2018ApJ...852...68C,,,,,,,,11.2,0.9,1.0,Conn2018ApJ...852...68C,-2.38,0.19,0.21,Conn2018ApJ...852...68C,-1.4199999999999982,0.5,0.5,2.801029995663981,75.85775750291836,4.078328375782206,4.310048835849543,5.406201162388542,4.152581907060307,25.24220419684076,-2.38,0.19,0.21,photometric,310.5222007833025,-67.83180048114993
