key,ref,ref_cite,citation,selection,angle,logj,logj_em,logj_ep,logj_em05,logj_ep95,logj_ul95,use,comments
grus_1,2022ApJ...939...41C,Chiti2022ApJ...939...41C,Chiti et al. 2022,PS19,0.01,15.47464915,0.7594800844,0.8536291081,1.567169482,1.79080464,16.92681649,1,
grus_1,2022ApJ...939...41C,Chiti2022ApJ...939...41C,Chiti et al. 2022,PS19,0.1,16.21579602,0.7121806094,0.7895507471,1.495937896,1.62662488,17.55928419,1,
grus_1,2022ApJ...939...41C,Chiti2022ApJ...939...41C,Chiti et al. 2022,PS19,0.2,16.3630957,0.7114024841,0.7820283593,1.475119539,1.616897331,17.67706587,1,
grus_1,2022ApJ...939...41C,Chiti2022ApJ...939...41C,Chiti et al. 2022,PS19,0.5,16.48857186,0.7086077351,0.7946153991,1.477800101,1.623415066,17.80120533,1,
grus_1,2022ApJ...939...41C,Chiti2022ApJ...939...41C,Chiti et al. 2022,PS19,1,16.53874156,0.7172806852,0.8070259624,1.492528661,1.661003583,17.86503284,1,
crater_2,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,0.01,13.99798292,0.3278720155,0.3813314179,0.616552373,0.7302329969,14.60566817,1,
crater_2,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,0.1,14.89774947,0.2974900283,0.3345710404,0.5686138058,0.6549622398,15.43999605,1,
crater_2,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,0.2,15.12066377,0.2801756812,0.3055595906,0.5406907706,0.6127519443,15.62728626,1,
crater_2,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,0.5,15.34764825,0.2525969111,0.2689490126,0.4895495097,0.5534767463,15.79970272,1,
crater_2,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,1,15.4517312,0.235990968,0.2557507433,0.4547054278,0.5403553284,15.88963425,1,
hydrus_1,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,0.01,17.32254636,0.3337021714,0.3841263121,0.6398778774,0.8263857208,17.98236982,1,
hydrus_1,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,0.1,18.20556558,0.2926411845,0.3085711805,0.5834691932,0.6360787275,18.72206634,1,
hydrus_1,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,0.2,18.41290083,0.2779978794,0.3018070811,0.5578348259,0.6219981473,18.92125992,1,
hydrus_1,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,0.5,18.6406304,0.3040471827,0.3233738053,0.5960700232,0.6676003779,19.1798274,1,
hydrus_1,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,1,18.76816595,0.354975009,0.3707221654,0.6701517215,0.7448401046,19.37242222,1,
sagittarius_2,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,0.01,16.28722571,1.249470007,1.996425816,1.968912206,3.241716867,19.16244352,1,
sagittarius_2,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,0.1,17.06219758,1.103719996,1.613512007,1.790634713,2.783448978,19.46520142,1,
sagittarius_2,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,0.2,17.21864098,1.031342132,1.485303438,1.693960357,2.635543638,19.47943725,1,
sagittarius_2,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,0.5,17.35234272,0.9217667382,1.36415832,1.541979234,2.501953441,19.48376331,1,
sagittarius_2,2020PhRvD.102b3029B,Boddy2020PhRvD.102b3029B,Boddy et al. 2020,PS19,1,17.41169503,0.8632444853,1.309536727,1.455169753,2.443746648,19.48403528,1,
bootes_2,2023ApJ...950..167B,Bruce2023ApJ...950..167B,Bruce et al. 2023,PS19,0.01,17.16409899,1.151406856,0.8891408325,4.818013452,1.750385553,18.61284808,1,
bootes_2,2023ApJ...950..167B,Bruce2023ApJ...950..167B,Bruce et al. 2023,PS19,0.1,17.95137792,1.110423946,0.8285249841,4.842769063,1.613933529,19.29969702,1,
bootes_2,2023ApJ...950..167B,Bruce2023ApJ...950..167B,Bruce et al. 2023,PS19,0.2,18.11562145,1.104078391,0.8216167751,4.866828808,1.601215941,19.44953168,1,
bootes_2,2023ApJ...950..167B,Bruce2023ApJ...950..167B,Bruce et al. 2023,PS19,0.5,18.27843901,1.098364494,0.8432965524,4.928189577,1.635841909,19.63492741,1,
bootes_2,2023ApJ...950..167B,Bruce2023ApJ...950..167B,Bruce et al. 2023,PS19,1,18.3593806,1.104169145,0.8682166397,4.955664979,1.672757812,19.75975537,1,
aquarius_2,2023ApJ...950..167B,Bruce2023ApJ...950..167B,Bruce et al. 2023,PS19,0.01,16.75947239,0.596858697,0.6554405392,1.135720235,1.38028605,17.88886836,1,
aquarius_2,2023ApJ...950..167B,Bruce2023ApJ...950..167B,Bruce et al. 2023,PS19,0.1,17.50835265,0.5378418064,0.5973607855,1.036696363,1.25977465,18.54400122,1,
aquarius_2,2023ApJ...950..167B,Bruce2023ApJ...950..167B,Bruce et al. 2023,PS19,0.2,17.65276971,0.5287267414,0.5936132824,1.020214589,1.248079456,18.67417353,1,
aquarius_2,2023ApJ...950..167B,Bruce2023ApJ...950..167B,Bruce et al. 2023,PS19,0.5,17.78315606,0.541102799,0.5988663584,1.047828925,1.270914068,18.81228098,1,
aquarius_2,2023ApJ...950..167B,Bruce2023ApJ...950..167B,Bruce et al. 2023,PS19,1,17.84738273,0.5681567398,0.610448885,1.077592513,1.294034548,18.90043719,1,
pegasus_4,2023ApJ...942..111C,Cerny2023ApJ...942..111C,Cerny et al. 2023,PS19,0.01,16.97713554,0.7777908027,0.804838763,1.690007766,1.674867993,18.35117536,1,
pegasus_4,2023ApJ...942..111C,Cerny2023ApJ...942..111C,Cerny et al. 2023,PS19,0.1,17.67459656,0.7533233743,0.7625151252,1.6530479,1.578471502,18.95084567,1,
pegasus_4,2023ApJ...942..111C,Cerny2023ApJ...942..111C,Cerny et al. 2023,PS19,0.2,17.81372128,0.764595794,0.7785041663,1.658475236,1.583335782,19.10112764,1,
pegasus_4,2023ApJ...942..111C,Cerny2023ApJ...942..111C,Cerny et al. 2023,PS19,0.5,17.93943695,0.7933755105,0.8087098653,1.718105143,1.627170732,19.28259353,1,
pegasus_4,2023ApJ...942..111C,Cerny2023ApJ...942..111C,Cerny et al. 2023,PS19,1,18.00065778,0.8203053766,0.8302778555,1.753139325,1.675584769,19.37803944,1,
grus_2,2020ApJ...892..137S,Simon2020ApJ...892..137S,Simon et al. 2020,PS19,0.01,13.39490914,2.146255705,1.49486234,3.974120216,2.481715047,15.56736152,1,
grus_2,2020ApJ...892..137S,Simon2020ApJ...892..137S,Simon et al. 2020,PS19,0.1,14.2101241,2.221797873,1.477930204,4.201694563,2.368397918,16.29906688,1,
grus_2,2020ApJ...892..137S,Simon2020ApJ...892..137S,Simon et al. 2020,PS19,0.2,14.3907312,2.26190756,1.473995573,4.338330351,2.323976692,16.45713801,1,
grus_2,2020ApJ...892..137S,Simon2020ApJ...892..137S,Simon et al. 2020,PS19,0.5,14.55362085,2.305564822,1.478237648,4.477820173,2.31273554,16.61517417,1,
