key,table,discovery_year,ref_discovery_1,ref_discovery_2,ref_discovery_3,name,other_name_1,other_name_2,other_name_3,other_name_4,other_name_5,other_name_6
AGC749235,dwarf_local_field,,,,,AGC749235,PGC5059199,,,,,
antlia_1,dwarf_local_field,1997,Whiting1997AJ....114..996W,,,Antlia,,,,,,
antlia_b,dwarf_local_field,2015,Sand2015ApJ...812L..13S,,,Antlia B,,,,,,
aquarius_1,dwarf_local_field,1959,vandenBergh1959PDDO....2..147V,,,Aquarius,DDO 210,,,,,
cetus_1,dwarf_local_field,1999,Whiting1999AJ....118.2767W,,,Cetus,,,,,,
DDO_044,dwarf_local_field,,,,,DDO 44,,,,,,
ddo_099,dwarf_local_field,1959,vandenBergh1959PDDO....2..147V,,,DDO 99,UGC 6817,,,,,
ddo_113,dwarf_local_field,1959,vandenBergh1959PDDO....2..147V,,,DDO 113,UGCA 276,KDG 90,,,,
ddo_125,dwarf_local_field,1959,vandenBergh1959PDDO....2..147V,,,DDO 125,UGC 7577,,,,,
ddo_190,dwarf_local_field,1959,vandenBergh1959PDDO....2..147V,,,DDO 190,UGC 9240,,,,,
eso_006-001,dwarf_local_field,1982,Lauberts1982euse.book.....L,,,ESO 006-001,,,,,,
eso_294-g010,dwarf_local_field,1982,Lauberts1982euse.book.....L,,,ESO 294-G010,,,,,,
eso_410-g005,dwarf_local_field,1982,Lauberts1982euse.book.....L,,,ESO 410-G005,UKS 0013-324,,,,,
gr_8,dwarf_local_field,1956,Reaves1956AJ.....61...69R,,,GR 8,UGC 8091,VV 558,DDO 155,,,
hizss_3a,dwarf_local_field,2000,Henning2000AJ....119.2686H,Begum2005MNRAS.359L..53B,,HIZSS 3A,,,,,,
hizss_3b,dwarf_local_field,2000,Henning2000AJ....119.2686H,Begum2005MNRAS.359L..53B,,HIZSS 3B,,,,,,
ic_1613,dwarf_local_field,1906,Wolf1906MNRAS..67...91W,,,IC 1613,DDO 8,UGC 668,,,,
ic_3104,dwarf_local_field,1908,Pickering1908AnHar..60..147P,,,IC 3104,ESO 020-G004,UKS 1215-794,,,,
ic_4662,dwarf_local_field,1902,Lunt1902MNRAS..62..468L,,,IC 4662,ESO 102-G014,,,,,
ic_5152,dwarf_local_field,1899,Pickering1899ApJ.....9..173P,,,IC 5152,,,,,,
kk_258,dwarf_local_field,,,,,KK 258,ESO468-020,[KK98]258,PGC069468,,,
kkh_86,dwarf_local_field,2001,Karachentsev2001A&A...366..428K,,,KKH 86,,,,,,
kkh_98,dwarf_local_field,2001,Karachentsev2001A&A...366..428K,,,KKH 98,,,,,,
kkr_25,dwarf_local_field,1998,Karachentseva1998A&AS..127..409K,Karachentseva1999A&AS..135..221K,Karachentsev2001A&A...379..407K,KKR 25,,,,,,
kkr_3,dwarf_local_field,1998,Karachentseva1998A&AS..127..409K,Karachentseva1999A&AS..135..221K,,KKR 3,KK 230,[KK98]230,PGC166185,,,
kks_3,dwarf_local_field,1985,Corwin1985sgcc.book.....C,Karachentseva2000A&AS..146..359K,Whiting2002ApJS..141..123W,KKS 3,KKs3,[KK2000] 03,PGC009140,,,
leo_a,dwarf_local_field,1942,Zwicky1942PhRv...61..489Z,,,Leo A,Leo III,UGC 5364,DDO 69,PGC 28868,,
leo_p,dwarf_local_field,2013,Giovanelli2013AJ....146...15G,,,Leo P,,,,,,
leo_t,dwarf_local_field,2007,Irwin2007ApJ...656L..13I,,,Leo T,,,,,,
ngc_0055,dwarf_local_field,1828,Dunlop1828RSPT..118..113D,,,NGC 55,,,,,,
ngc_0300,dwarf_local_field,1828,Dunlop1828RSPT..118..113D,,,NGC 300,,,,,,
ngc_3109,dwarf_local_field,1847,Herschel1847raom.book.....H,,,NGC 3109,DDO 236,UGCA 194,,,,
ngc_4163,dwarf_local_field,1789,Herschel1789RSPT...79..212H,,,NGC 4163,UGC 7199,NGC 4167,,,,
ngc_4190,dwarf_local_field,,,,,NGC 4190,PGC039023,UGC07232,CGCG 187-024,,,
ngc_6822,dwarf_local_field,1884,Barnard1884AN....110..125B,,,NGC 6822,IC 4895,DDO 209,Barnard’s Galaxy,,,
pegasus_1,dwarf_local_field,1958,Holmberg1958_hand,,,Pegasus dIrr,UGC 12613,DDO 216,,,,
pegasus_w,dwarf_local_field,2023,McQuinn2023ApJ...944...14M,,,Pegasus W,,,,,,
phoenix_1,dwarf_local_field,1976,Schuster1976A&A....49..129S,Canterna1977ApJ...212L..57C,,Phoenix,,,,,,
sagittarius_dirr,dwarf_local_field,1977,Cesarsky1977A&A....61L..31C,Longmore1978MNRAS.183P..97L,,Sagittarius dIrr,UKS 1927-177,,,,,
sextans_a,dwarf_local_field,1942,Zwicky1942PhRv...61..489Z,,,Sextans A,UGCA 205,DDO 75,,,,
sextans_b,dwarf_local_field,1958,Holmberg1958_hand,,,Sextans B,UGC 5373,DDO 70,,,,
tucana_1,dwarf_local_field,1985,Lavery1992AJ....103...81L,Lavery1990IAUC.5139....2L,Corwin1985sgcc.book.....C,Tucana,,,,,,
tucana_b,dwarf_local_field,2022,Sand2022ApJ...935L..17S,,,Tucana B,,,,,,
ugc_4879,dwarf_local_field,1959,Kopylov2008MNRAS.387L..45K,VorontsovVelyaminov1959VV....C......0V,,UGC 4879,VV 124,,,,,
ugc_8508,dwarf_local_field,1962,VorontsovVelYaminov1962TrSht..32..207V,,,UGC 8508,,,,,,
ugc_9128,dwarf_local_field,1959,vandenBergh1959PDDO....2..147V,,,UGC 9128,DDO 187,CGCG 133-019,MCG +04-34-009,PGC050961,,
ugca_86,dwarf_local_field,1974,Nilson1974UppOR...5....0N,,,UGCA 86,VIIZw009,,,,,
uks_2323_326,dwarf_local_field,1978,Longmore1978MNRAS.183P..97L,,,UKS 2323-326,UGCA 438,ESO407-018,MCG -05-55-012,PGC071431,,
wlm,dwarf_local_field,1910,Wolf1909AN....183..187W,Melotte1926MNRAS..86..636M,,WLM,Wolf-Lundmark-Melotte,UGCA 444,DDO 221,LEDA 143,,
eso_274-001,dwarf_local_field,,,,,ESO 274-001,PGC054392,RFGC2937,HIPASS J1514-46,,,
ddo_147,dwarf_local_field,,,,,DDO 147,UGC07949,PGC043129,KDG200,MCG +06-28-030,,
kks_53,dwarf_local_field,,,,,KKS53,PGC2815820,[KK2000] 53,Cen7,,,
