key,ref,ref_cite,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,method,citation,comments
antlia_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.1,0.01,0.01,0.09,0.01,0.01,GAIA_EDR3,Battaglia et al. 2022,EDR3
aquarius_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.03,0.19,0.23,-0.47,0.16,0.15,GAIA_EDR3,Battaglia et al. 2022,EDR3
bootes_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.39,0.02,0.02,-1.06,0.01,0.01,GAIA_EDR3,Battaglia et al. 2022,EDR3
bootes_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-2.46,0.07,0.07,-0.45,0.06,0.05,GAIA_EDR3,Battaglia et al. 2022,EDR3
bootes_3,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-1.16,0.02,0.02,-0.88,0.01,0.01,GAIA_EDR3,Battaglia et al. 2022,EDR3
bootes_4,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.03,0.38,0.41,0.4,0.76,0.92,GAIA_EDR3,Battaglia et al. 2022,EDR3
canes_venatici_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.1,0.03,0.03,-0.12,0.02,0.02,GAIA_EDR3,Battaglia et al. 2022,EDR3
canes_venatici_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.12,0.11,0.1,-0.29,0.08,0.08,GAIA_EDR3,Battaglia et al. 2022,EDR3
carina_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.53,0.01,0.01,0.13,0.01,0.01,GAIA_EDR3,Battaglia et al. 2022,EDR3
carina_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,1.88,0.01,0.01,0.13,0.02,0.01,GAIA_EDR3,Battaglia et al. 2022,EDR3
carina_3,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,3.1,0.04,0.03,1.39,0.04,0.04,GAIA_EDR3,Battaglia et al. 2022,EDR3
centaurus_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.13,0.05,0.05,-0.21,0.04,0.04,GAIA_EDR3,Battaglia et al. 2022,EDR3
cetus_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,2.85,0.05,0.05,0.47,0.06,0.06,GAIA_EDR3,Battaglia et al. 2022,EDR3
cetus_3,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.47,0.81,0.85,-0.56,0.87,0.94,GAIA_EDR3,Battaglia et al. 2022,EDR3
columba_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.17,0.07,0.07,-0.41,0.08,0.08,GAIA_EDR3,Battaglia et al. 2022,EDR3
coma_berenices_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.43,0.02,0.02,-1.72,0.02,0.02,GAIA_EDR3,Battaglia et al. 2022,EDR3
crater_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.04,0.12,0.12,-0.12,0.1,0.1,GAIA_EDR3,Battaglia et al. 2022,EDR3
crater_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.07,0.02,0.02,-0.11,0.01,0.01,GAIA_EDR3,Battaglia et al. 2022,EDR3
delve_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.04,0.07,0.07,-1.54,0.05,0.05,GAIA_EDR3,Battaglia et al. 2022,EDR3
delve_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.92,0.11,0.12,-0.97,0.08,0.09,GAIA_EDR3,Battaglia et al. 2022,EDR3
draco_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.04,0.01,0.01,-0.19,0.01,0.01,GAIA_EDR3,Battaglia et al. 2022,EDR3
draco_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,1.12,0.09,0.09,0.91,0.1,0.1,GAIA_EDR3,Battaglia et al. 2022,EDR3
eridanus_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.15,0.11,0.11,0.03,0.13,0.14,GAIA_EDR3,Battaglia et al. 2022,EDR3
eridanus_3,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,1.39,0.13,0.13,-0.64,0.14,0.14,GAIA_EDR3,Battaglia et al. 2022,EDR3
fornax_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.381,0.001,0.001,-0.358,0.002,0.002,GAIA_EDR3,Battaglia et al. 2022,EDR3
grus_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.07,0.05,0.05,-0.27,0.07,0.08,GAIA_EDR3,Battaglia et al. 2022,EDR3
grus_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.39,0.04,0.03,-1.51,0.04,0.04,GAIA_EDR3,Battaglia et al. 2022,EDR3
hercules_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.04,0.05,0.04,-0.34,0.04,0.04,GAIA_EDR3,Battaglia et al. 2022,EDR3
horologium_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.85,0.03,0.04,-0.6,0.04,0.04,GAIA_EDR3,Battaglia et al. 2022,EDR3
horologium_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.98,0.19,0.18,-0.84,0.23,0.21,GAIA_EDR3,Battaglia et al. 2022,EDR3
hydra_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.37,0.14,0.14,-0.03,0.1,0.1,GAIA_EDR3,Battaglia et al. 2022,EDR3
hydrus_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,3.79,0.01,0.01,-1.5,0.01,0.01,GAIA_EDR3,Battaglia et al. 2022,EDR3
ic_1613,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.04,0.02,0.02,0.01,0.01,0.01,GAIA_EDR3,Battaglia et al. 2022,EDR3
leo_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.06,0.01,0.01,-0.12,0.01,0.01,GAIA_EDR3,Battaglia et al. 2022,EDR3
leo_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.11,0.03,0.03,-0.14,0.03,0.03,GAIA_EDR3,Battaglia et al. 2022,EDR3
leo_4,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.03,0.14,0.14,-0.28,0.12,0.11,GAIA_EDR3,Battaglia et al. 2022,EDR3
leo_5,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.1,0.21,0.21,-0.41,0.15,0.15,GAIA_EDR3,Battaglia et al. 2022,EDR3
leo_a,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.06,0.09,0.09,-0.06,0.08,0.09,GAIA_EDR3,Battaglia et al. 2022,EDR3
leo_t,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.23,0.37,0.36,-0.12,0.22,0.22,GAIA_EDR3,Battaglia et al. 2022,EDR3
m_33,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.062,0.004,0.004,0.011,0.003,0.003,GAIA_EDR3,Battaglia et al. 2022,EDR3
ngc_3109,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.04,0.03,0.03,-0.01,0.03,0.03,GAIA_EDR3,Battaglia et al. 2022,EDR3
ngc_6822,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,-0.06,0.01,0.01,-0.07,0.01,0.01,GAIA_EDR3,Battaglia et al. 2022,EDR3
pegasus_dirr,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.15,0.14,0.13,0.07,0.11,0.12,GAIA_EDR3,Battaglia et al. 2022,EDR3
phoenix_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.08,0.03,0.03,-0.06,0.04,0.04,GAIA_EDR3,Battaglia et al. 2022,EDR3
phoenix_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.5,0.05,0.05,-1.2,0.06,0.06,GAIA_EDR3,Battaglia et al. 2022,EDR3
pictor_1,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,0.15,0.08,0.08,0.08,0.12,0.12,GAIA_EDR3,Battaglia et al. 2022,EDR3
pictor_2,2022A&A...657A..54B,Battaglia2022A&A...657A..54B,1.15,0.06,0.06,1.14,0.05,0.06,GAIA_EDR3,Battaglia et al. 2022,EDR3
