key,confirmed_real,confirmed_star_cluster,ra,dec,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_em,distance,distance_em,distance_ep,ref_distance,rhalf_physical,rhalf_sph_physical,apparent_magnitude_V,apparent_magnitude_V_em,apparent_magnitude_V_ep,MV,MV_em,MV_ep,ref_mv,surface_brightness_rhalf,surface_brightness_rhalf_em,surface_brightness_rhalf_ep,ref_surface_brightness,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_upper_limit,ref_vlos,,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity,metallicity_em,metallicity_ep,metallicity_sigma,metallicity_sigma_em,metallicity_sigma_ep,metallicity_sigma_ul,ref_metallicity,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,king_concentration,king_concentration_em,king_concentration_ep,ref_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric
2ms_gc01,1,1,272.090851,-19.829723,4.07,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,12.64,0.4,0.4,3.373,0.567,0.682,Baumgardt2021MNRAS.505.5957B,3.993345326,3.993345326,6.57,,,-6.07,,,Baumgardt2020PASA...37...46B,,,,,-31.28,0.5,0.5,,,,,Baumgardt2018MNRAS.478.1520B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ms_gc02,1,1,272.4021,-20.778889,1.39,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,11.992,0.4,0.363,2.503,0.421,0.456,Baumgardt2021MNRAS.505.5957B,1.012049529,1.012049529,8.69,,,-3.302,,,Baumgardt2020PASA...37...46B,,,,,-237.75,10.1,10.1,,,,,Baumgardt2018MNRAS.478.1520B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.08,,,Harris1996AJ....112.1487H
am_1,1,1,58.759586,-49.615276,0.43,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,20.376,0.062,0.062,118.905,3.347,3.444,Baumgardt2021MNRAS.505.5957B,14.87286685,14.87286685,14.27,0.05,0.05,-6.106,0.05,0.05,Baumgardt2020PASA...37...46B,,,,,118,14.14,14.14,,,,,Baumgardt2018MNRAS.478.1520B,,0.2912,0.1071,0.1071,-0.1772,0.0859,0.0859,Vasiliev2021MNRAS.505.5978V,-1.7,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,0.46,0.03,0.03,1.08,0.13,0.13,Munoz2018ApJ...860...66M,,,,,,,,
am_4,1,1,209.089066,-27.165171,0.77,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,17.313,0.07,0.07,29.013,0.92,0.951,Baumgardt2021MNRAS.505.5957B,6.49844549,6.49844549,16.35,0.05,0.05,-0.963,0.05,0.05,Baumgardt2020PASA...37...46B,,,,,151.19,2.85,2.85,,,,,Baumgardt2018MNRAS.478.1520B,,-0.2911,0.4448,0.4448,-2.5119,0.3441,0.3441,Vasiliev2021MNRAS.505.5978V,-1.3,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,0.76,0.14,0.14,1.44,0.33,0.33,Munoz2018ApJ...860...66M,,,,,,,,
arp_2,1,1,292.183807,-30.355639,1.7,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,17.291,0.026,0.026,28.726,0.342,0.346,Baumgardt2021MNRAS.505.5957B,14.20529296,14.20529296,11.34,0.04,0.04,-5.951,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,122.64,0.29,0.29,,,,,Baumgardt2018MNRAS.478.1520B,,-2.3307,0.0313,0.0313,-1.4753,0.0294,0.0294,Vasiliev2021MNRAS.505.5978V,-1.75,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
bh_176,1,1,234.7810417,-50.05272222,0.9,,,,,,,,,,Harris1996AJ....112.1487H,15.913,,,15.23,,,Harris1996AJ....112.1487H,3.987204676,3.987204676,11.613,,,-4.3,,,Harris1996AJ....112.1487H,,,,,90.3,0.35,0.35,,,,,Baumgardt2018MNRAS.478.1520B,,-3.9889,0.0293,0.0293,-3.0568,0.0287,0.0287,Vasiliev2021MNRAS.505.5978V,0,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
bh_261,1,1,273.5275,-28.635,1.65,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,13.932,0.092,0.092,6.115,0.253,0.265,Baumgardt2021MNRAS.505.5957B,2.934989303,2.934989303,10.15,0.04,0.04,-3.782,0.04,0.04,Baumgardt2020PASA...37...46B,,,,,-45,15,15,,,,,Baumgardt2018MNRAS.478.1520B,,3.5656,0.0434,0.0434,-3.5897,0.0375,0.0375,Vasiliev2021MNRAS.505.5978V,-1.3,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
djorgovski_1,1,1,266.869583,-33.066389,1.43,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.974,0.143,0.143,9.879,0.628,0.671,Baumgardt2021MNRAS.505.5957B,4.109368997,4.109368997,8.2,0.12,0.12,-6.774,0.12,0.12,Baumgardt2020PASA...37...46B,,,,,-359.18,1.64,1.64,,,,,Baumgardt2018MNRAS.478.1520B,,-4.6934,0.0462,0.0462,-8.4678,0.0411,0.0411,Vasiliev2021MNRAS.505.5978V,-1.51,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
djorgovski_2,1,1,270.454378,-27.825819,1.82,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.714,0.044,0.044,8.764,0.174,0.178,Baumgardt2021MNRAS.505.5957B,4.639806555,4.639806555,8.2,0.11,0.11,-6.514,0.11,0.11,Baumgardt2020PASA...37...46B,,,,,-149.75,1.1,1.1,,,,,Baumgardt2018MNRAS.478.1520B,,0.6619,0.0415,0.0415,-2.9828,0.0371,0.0371,Vasiliev2021MNRAS.505.5978V,-0.65,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
e_3,1,1,140.237793,-77.281891,1.92,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.482,0.069,0.069,7.876,0.245,0.254,Baumgardt2021MNRAS.505.5957B,4.39878822,4.39878822,10.92,0.03,0.03,-3.562,0.03,0.03,Baumgardt2020PASA...37...46B,,,,,11.71,0.34,0.34,,,,,Baumgardt2018MNRAS.478.1520B,,-2.7274,0.0272,0.0272,7.0827,0.0271,0.0271,Vasiliev2021MNRAS.505.5978V,-0.83,,,,,,,Harris1996AJ....112.1487H,,,,,,,,,,,,,,,,,,,,,,,,,
