key,host,confirmed_real,confirmed_star_cluster,ra,dec,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,distance,distance_em,distance_ep,ref_distance,rhalf_physical,rhalf_sph_physical,apparent_magnitude_V,apparent_magnitude_V_em,apparent_magnitude_V_ep,MV,MV_em,MV_ep,ref_mv,surface_brightness_rhalf,surface_brightness_rhalf_em,surface_brightness_rhalf_ep,ref_surface_brightness,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity,metallicity_em,metallicity_ep,metallicity_sigma,metallicity_sigma_em,metallicity_sigma_ep,metallicity_sigma_ul,ref_metallicity,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,king_concentration,king_concentration_em,king_concentration_ep,ref_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric
balbinot_1,MW,1,1,332.6791000,14.9403000,0.6,0.11,0.16,,,,,,,,Balbinot2013ApJ...767..101B,17.52,0.11,0.07,31.9,1.6,1,Balbinot2013ApJ...767..101B,5.567600314,5.567600314,16.31,0.66,0.66,-1.21,0.66,0.66,Balbinot2013ApJ...767..101B,25.9,,,Balbinot2013ApJ...767..101B,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.06,0.1,7.85,3.4,4.15,,,,Balbinot2013ApJ...767..101B,0.84,0.11,0.11,1.48,0.23,0.23,Munoz2018ApJ...860...66M,11.7,0.8,1.4,Balbinot2013ApJ...767..101B,-1.58,0.13,0.08,Balbinot2013ApJ...767..101B
bliss_1,MW,1,0,177.5100000,-41.7720000,0.6,0.14,0.19,101,56,74,0.06,,,,Mau2019ApJ...875..154M,16.87,0.13,0.2,23.7,1,1.9,Mau2019ApJ...875..154M,4.136430327,4.010417996,16.87,0.7,1.7,0.00,0.7,1.7,Mau2019ApJ...875..154M,26.1,,,Mau2019ApJ...875..154M,,,,,,,,,-2.34,0.042,0.042,0.138,0.038,0.038,Vasiliev2021MNRAS.505.5978V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,,,Mau2019ApJ...875..154M
crater_1,MW,1,1,174.0668000,-10.8772000,0.46,0.01,0.01,,,,,,,,Weisz2016ApJ...822...32W,20.82,0.045,0.044,146,3,3,Weisz2016ApJ...822...32W,19.53605209,19.53605209,15.52,0.1,0.1,-5.30,0.1,0.1,Weisz2016ApJ...822...32W,24.7,,,internal,148.2,1.1,,2,1.55,,,Voggel2016MNRAS.460.3384V,-0.04,0.12,0.12,0.12,0.1,0.1,Battaglia2022A&A...657A..54B,-1.68,0.05,,,,,,Kirby2015ApJ...810...56K,0.39,0.02,0.02,,,,0.76,0.05,0.05,Weisz2016ApJ...822...32W,0.49,0.07,0.07,0.77,0.19,0.19,Munoz2018ApJ...860...66M,7.5,0.4,0.4,Weisz2016ApJ...822...32W,-1.66,0.04,0.04,Weisz2016ApJ...822...32W
delve_1,MW,1,0,247.7250000,-0.9720000,0.97,0.19,0.27,21,30,26,0.2,0.2,0.1,,Mau2020ApJ...890..136M,16.39,0.12,0.12,19,0.6,0.5,Mau2020ApJ...890..136M,5.361069686,4.7950865,16.19,0.6,0.8,-0.20,0.6,0.8,Mau2020ApJ...890..136M,26.9,,,Mau2020ApJ...890..136M,,,,,,,,,0.04,0.07,0.07,-1.54,0.05,0.05,Battaglia2022A&A...657A..54B,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,0.7,1,Mau2020ApJ...890..136M,-1.5,,,Mau2020ApJ...890..136M
delve_2,MW,1,0,28.7720000,-68.2530000,1.04,0.15,0.19,74,40,84,0.03,0.03,0.15,,Cerny2021ApJ...910...18C,19.26,0.1,0.1,71,4,4,Cerny2021ApJ...910...18C,21.47918533,21.1545442,17.16,0.5,0.4,-2.10,0.5,0.4,Cerny2021ApJ...910...18C,28.2,,,Cerny2021ApJ...910...18C,,,,,,,,,0.92,0.11,0.12,-0.97,0.08,0.09,Battaglia2022A&A...657A..54B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerny2021ApJ...910...18C,-2,0.5,0.2,Cerny2021ApJ...910...18C
delve_3,MW,1,0,290.3960000,-60.7840000,0.4,0.08,0.12,87,35,30,,,,0.4,Cerny2023ApJ...953....1C,18.73,0.23,0.09,56,6,2,Cerny2023ApJ...953....1C,6.515895874,6.515895874,17.43,0.6,0.4,-1.30,0.6,0.4,Cerny2023ApJ...953....1C,26.3,,,internal,,,,,,,,,-0.33,0.34,0.31,-0.8,0.32,0.35,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delve_4,MW,1,0,230.7750000,27.3950000,0.49,0.12,0.16,152,17,14,0.4,0.2,0.2,,Cerny2023ApJ...953....1C,18.28,0.19,0.19,45,4,4,Cerny2023ApJ...953....1C,6.414085001,4.968328878,18.08,0.8,0.5,-0.20,0.8,0.5,Cerny2023ApJ...953....1C,26.9,,,internal,,,,,,,,,0.42,0.09,0.08,-0.75,0.11,0.11,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,Cerny2023ApJ...953....1C,-1.9,,,Cerny2023ApJ...953....1C
delve_5,MW,1,0,222.1040000,17.4680000,0.68,0.17,0.24,77,11,10,0.6,0.2,0.1,,Cerny2023ApJ...953....1C,17.97,0.17,0.17,39,3,3,Cerny2023ApJ...953....1C,7.714355294,4.878986682,18.37,0.9,0.4,0.40,0.9,0.4,Cerny2023ApJ...953....1C,27.4,,,internal,,,,,,,,,-1.82,0.12,0.13,-0.93,0.12,0.12,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,Cerny2023ApJ...953....1C,-2.2,,,Cerny2023ApJ...953....1C
delve_6,MW,0,0,33.0700000,-66.0560000,0.43,0.12,0.18,14,63,40,,,,0.56,Cerny2023ApJ...953L..21C,19.51,0.16,0.11,80,4.4,5.7,Cerny2023ApJ...953L..21C,10.00655438,10.00655438,18.01,0.6,0.4,-1.50,0.6,0.4,Cerny2023ApJ...953L..21C,27.1,,,internal,,,,,,,,,0.93,0.39,0.39,-1.28,0.38,0.38,Cerny2023ApJ...953L..21C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
des_1,MW,1,1,8.4991667,-49.0386111,0.245,0.027,0.036,112,3,3,0.41,0.06,0.03,,Conn2018ApJ...852...68C,19.4,0.12,312,76,4,4,Conn2018ApJ...852...68C,5.416338445,4.160368502,17.98,0.5,0.5,-1.42,0.5,0.5,Conn2018ApJ...852...68C,25.2,,,internal,,,,,,,,,,,,,,,,,,,,,,,,0.116,0.037,0.04,2.114,0.707,0.729,,,,Conn2018ApJ...852...68C,,,,,,,,11.2,0.9,1,Conn2018ApJ...852...68C,-2.38,0.19,0.21,Conn2018ApJ...852...68C
